iter	Passed	Remaining
0	176	176014
1	180	90193
2	185	61739
3	190	47453
4	195	38948
5	200	33156
6	203	28800
7	205	25463
8	208	22903
9	210	20802
10	211	19058
11	213	17596
12	215	16333
13	216	15246
14	217	14303
15	219	13473
16	220	12734
17	221	12087
18	222	11509
19	224	10977
20	225	10492
21	225	10046
22	226	9640
23	227	9269
24	228	8927
25	229	8609
26	230	8317
27	231	8045
28	232	7791
29	233	7556
30	234	7337
31	236	7145
32	237	6964
33	238	6782
34	239	6609
35	240	6450
36	241	6296
37	242	6151
38	244	6013
39	245	5880
40	246	5754
41	247	5635
42	247	5518
43	249	5421
44	250	5326
45	252	5230
46	253	5133
47	254	5040
48	255	4953
49	256	4869
50	257	4786
51	258	4707
52	259	4630
53	260	4557
54	261	4486
55	262	4417
56	263	4355
57	264	4298
58	266	4246
59	267	4189
60	268	4133
61	269	4079
62	270	4027
63	271	3974
64	272	3923
65	273	3872
66	274	3825
67	275	3780
68	276	3736
69	277	3691
70	279	3654
71	280	3614
72	281	3574
73	282	3534
74	283	3494
75	284	3456
76	285	3419
77	286	3381
78	287	3346
79	288	3312
80	289	3278
81	290	3248
82	290	3212
83	291	3180
84	292	3151
85	294	3125
86	295	3098
87	296	3069
88	297	3041
89	298	3013
90	299	2986
91	299	2960
92	300	2933
93	301	2908
94	302	2884
95	303	2862
96	305	2841
97	306	2820
98	307	2799
99	308	2779
100	309	2758
101	310	2737
102	311	2715
103	312	2695
104	314	2676
105	315	2658
106	316	2640
107	317	2622
108	318	2606
109	319	2588
110	321	2572
111	322	2559
112	324	2546
113	325	2532
114	327	2516
115	328	2501
116	329	2485
117	330	2469
118	332	2458
119	334	2450
120	335	2440
121	337	2427
122	339	2417
123	340	2404
124	341	2390
125	342	2376
126	343	2360
127	344	2348
128	345	2335
129	346	2322
130	348	2308
131	349	2296
132	351	2291
133	353	2285
134	355	2277
135	357	2272
136	358	2259
137	359	2247
138	360	2235
139	361	2222
140	363	2214
141	364	2201
142	365	2190
143	367	2184
144	369	2179
145	370	2169
146	372	2162
147	373	2152
148	375	2142
149	376	2131
150	377	2122
151	378	2112
152	380	2104
153	381	2098
154	384	2095
155	386	2091
156	387	2083
157	389	2074
158	390	2065
159	391	2057
160	392	2046
161	394	2038
162	395	2031
163	397	2025
164	399	2022
165	401	2019
166	403	2011
167	404	2004
168	406	1996
169	407	1987
170	408	1978
171	408	1968
172	410	1960
173	411	1953
174	413	1949
175	415	1945
176	416	1937
177	417	1929
178	419	1922
179	420	1913
180	421	1905
181	422	1898
182	423	1890
183	424	1883
184	426	1877
185	428	1877
186	430	1872
187	432	1869
188	434	1863
189	435	1857
190	436	1850
